    귀여운 캐릭터들의 귀여운 마을 축제! 드래곤 퀘스트 빌더즈2 9화(Dragon Quest Builders2)  ,53:59:00,"18,140",304,2019. 4. 22.,https://www.youtube.com/watch?v=y-BCcS71TQ8&list=PLyOJ5ZNIl-zC30gDqjaol2vnNaDp9qbIn&index=11&t=0s
    생방송 태도 논란에 대한 사과 방송  ,1:57:17,"385,957","4,743",2019. 4. 25.,https://www.youtube.com/watch?v=R0tr-uYmSSo&list=PLyOJ5ZNIl-zCk9qopXDdCdOY7W6vEqkj8&index=2&t=0s
    대도서관 피아노 선생님 대청자 드립에 라이브 중 방송사고?!  ,39:02:00,"25,476",663,2019. 4. 24.,https://www.youtube.com/watch?v=4Pb72lWbkL8&list=PLyOJ5ZNIl-zCk9qopXDdCdOY7W6vEqkj8&index=3&t=0s
    [대도서관 중대발표] 트위치에서 첫 생방송 일자 안내!  ,1:05:28,"434,078","9,277",2018. 12. 27.,https://www.youtube.com/watch?v=S8dksPUebfA&list=PLyOJ5ZNIl-zCk9qopXDdCdOY7W6vEqkj8&index=5&t=0s
    세키로 1화] 닌자판 다크소울? 별로 안 어려울 거 같은데? (Sekiro: Shadows Die Twice)  ,43:14:00,"135,710","1,235",2019. 3. 29.,https://www.youtube.com/watch?v=BAweotLEbbU&list=PLyOJ5ZNIl-zAtoqaLzNW3YYpwYTU8cy1a&index=2&t=0s
    세키로 2화] 입딜로 사무라이 대장 제압하다! (Sekiro: Shadows Die Twice)  ,34:50:00,"78,111",723,2019. 3. 29.,https://www.youtube.com/watch?v=YnIkUayAuaI&list=PLyOJ5ZNIl-zAtoqaLzNW3YYpwYTU8cy1a&index=3&t=0s
    세키로 3화] 다굴 앞에서는 고인물도 어쩔 수 없이 유다희! (Sekiro: Shadows Die Twice)  ,36:05:00,"49,759",502,2019. 3. 30.,https://www.youtube.com/watch?v=mOykR347cD0&list=PLyOJ5ZNIl-zAtoqaLzNW3YYpwYTU8cy1a&index=4&t=0s
    세키로 4화] 이걸 한 시간 동안 잡아? 난 1트에 잡는다! (Sekiro: Shadows Die Twice)  ,32:52:00,"42,041",441,2019. 4. 1.,https://www.youtube.com/watch?v=C_XxzSLkEEA&list=PLyOJ5ZNIl-zAtoqaLzNW3YYpwYTU8cy1a&index=5&t=0s
    세키로 5화] 네가 이 구역의 망나니냐? 술고래 주조 등장! (Sekiro: Shadows Die Twice)  ,33:15:00,"34,730",317,2019. 4. 2.,https://www.youtube.com/watch?v=tEJsV95oEjg&list=PLyOJ5ZNIl-zAtoqaLzNW3YYpwYTU8cy1a&index=6&t=0s
    세키로 6화] 엘보드롭에 드롭킥까지 날리는 프로레슬러 적귀! (Sekiro: Shadows Die Twice)  ,1:03:37,"28,430",297,2019. 4. 3.,https://www.youtube.com/watch?v=L0MBAm3VQHI&list=PLyOJ5ZNIl-zAtoqaLzNW3YYpwYTU8cy1a&index=7&t=0s
    세키로 7화] 다시 붙자! 술고래 주조와 리매치! (Sekiro: Shadows Die Twice)  ,47:39:00,"26,086",293,2019. 4. 3.,https://www.youtube.com/watch?v=KU9pFCeS-C4&list=PLyOJ5ZNIl-zAtoqaLzNW3YYpwYTU8cy1a&index=8&t=0s
